,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist
702,2109,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98,2010-06-10,"Nintendo, Monolith Soft",4.2,828.0,828.0,"Adventure, RPG",3900.0,142.0,1300.0,732.0
703,2121,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0.0,0.08,0.98,2014-11-18,Ubisoft Montreal,3.2,558.0,558.0,"Adventure, Shooter, Tactical",8500.0,90.0,1300.0,442.0
704,2121,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0.0,0.08,0.98,2014-11-18,Ubisoft Montreal,3.2,558.0,558.0,"Adventure, Shooter, Tactical",8500.0,90.0,1300.0,442.0
705,2122,Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98,2004-10-26,"Rockstar Games, Rockstar North",4.1,1500.0,1500.0,"Adventure, Racing, Shooter",19000.0,270.0,2400.0,742.0
706,2133,Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97,2012-03-06,"BioWare Edmonton, Electronic Arts",3.7,777.0,777.0,"Adventure, RPG, Shooter",7300.0,79.0,1500.0,482.0
707,2136,Yakuza 4,PS3,2009,Action,Sega,0.15,0.14,0.63,0.05,0.97,2010-03-08,Sega,3.8,295.0,295.0,"Adventure, Brawler, RPG, Simulator, Sport",1400.0,38.0,596.0,255.0
708,2153,PlayStation All-Stars Battle Royale,PS3,2012,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96,2012-11-20,"SCE Santa Monica Studio, Sony Computer Entertainment",2.4,208.0,208.0,"Fighting, Platform",2600.0,3.0,132.0,78.0
709,2161,Sonic Unleashed,X360,2008,Platform,Sega,0.54,0.33,0.0,0.09,0.96,2008-11-20,"Sega, Sonic Team",3.3,728.0,728.0,"Adventure, Brawler, Platform",6500.0,118.0,995.0,476.0
710,2170,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.96,2011-05-17,"Atari, CD Projekt RED",3.6,181.0,181.0,"Adventure, RPG",1600.0,21.0,605.0,169.0
711,2204,Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94,2012-10-30,"Ubisoft Entertainment, Ubisoft Montreal",3.0,707.0,707.0,"Adventure, Strategy",12000.0,72.0,1200.0,390.0
712,2207,The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.36,0.02,0.08,0.94,2011-05-17,"Atari, CD Projekt RED",3.6,181.0,181.0,"Adventure, RPG",1600.0,21.0,605.0,169.0
713,2208,Bayonetta,X360,2009,Action,Sega,0.51,0.26,0.09,0.08,0.94,2009-10-29,"Nex Entertainment, Sega",3.9,1700.0,1700.0,"Brawler, Shooter",13000.0,614.0,5000.0,2300.0
714,2208,Bayonetta,X360,2009,Action,Sega,0.51,0.26,0.09,0.08,0.94,2009-10-29,"Nex Entertainment, Sega",3.9,1700.0,1700.0,"Brawler, Shooter",13000.0,614.0,5000.0,2300.0
715,2208,Bayonetta,X360,2009,Action,Sega,0.51,0.26,0.09,0.08,0.94,2009-10-29,"Nex Entertainment, Sega",3.9,1700.0,1700.0,"Brawler, Shooter",13000.0,614.0,5000.0,2300.0
716,2209,Destroy All Humans!,PS2,2005,Shooter,THQ,0.78,0.03,0.0,0.13,0.94,2005-06-21,"THQ, Pandemic Studios",3.2,160.0,160.0,Adventure,2200.0,16.0,414.0,188.0
717,2214,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.48,0.3,0.08,0.08,0.94,2016-03-04,"Nintendo, Nintendo EPD",4.2,447.0,447.0,"Adventure, Platform, Puzzle",2500.0,91.0,956.0,503.0
718,2215,Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,2006-10-17,"Rockstar Vancouver, Take-Two Interactive",3.9,635.0,635.0,Adventure,6700.0,80.0,1300.0,768.0
719,2216,Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,2003-11-06,"Ubisoft Entertainment, Ubisoft Montreal",3.6,480.0,480.0,"Adventure, Platform",5500.0,37.0,1100.0,421.0
720,2226,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93,2012-09-18,"Gearbox Software, 2K Games",3.5,1100.0,1100.0,"RPG, Shooter",16000.0,344.0,2700.0,494.0
721,2226,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93,2012-09-18,"Gearbox Software, 2K Games",3.5,1100.0,1100.0,"RPG, Shooter",16000.0,344.0,2700.0,494.0
722,2237,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,0.71,0.2,0.0,0.01,0.93,1999-11-22,"Activision, ""Travellers Tales""",3.4,245.0,245.0,"Adventure, Platform",2300.0,26.0,262.0,117.0
723,2256,Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,2010-02-04,"Electronic Arts, Visceral Games",3.2,321.0,321.0,"Adventure, Brawler",2600.0,40.0,567.0,334.0
724,2262,Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92,2007-11-13,"Ubisoft Montreal, Ubisoft Entertainment",2.9,801.0,801.0,"Adventure, Platform",13000.0,118.0,1200.0,496.0
725,2262,Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92,2007-11-13,"Ubisoft Montreal, Ubisoft Entertainment",2.9,801.0,801.0,"Adventure, Platform",13000.0,118.0,1200.0,496.0
726,2262,Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92,2007-11-13,"Ubisoft Montreal, Ubisoft Entertainment",2.9,801.0,801.0,"Adventure, Platform",13000.0,118.0,1200.0,496.0
727,2267,The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92,2014-10-14,"Tango Gameworks, Bethesda Softworks",3.4,629.0,629.0,"Adventure, Shooter",4800.0,140.0,1800.0,822.0
728,2295,The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.37,0.0,0.15,0.91,2007-10-30,"Griptonite Games, Electronic Arts",3.0,200.0,200.0,Platform,3800.0,20.0,283.0,156.0
729,2312,Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.51,0.29,0.0,0.09,0.9,2008-09-16,"THQ Wireless, Aspyr Media",3.2,417.0,417.0,"Adventure, Brawler, RPG",7400.0,50.0,823.0,350.0
